drug_name,adr_term,archetype,true_signal,demographic_minority_flag,T_confirmation,feature_extraction_date,years_since_approval,days_to_signal,notoriety_flag,stimulated_reporting_flag,ground_truth_confidence,temporal_cohort,S1,S2_raw,S2_corrected,S3,S4,S5,S6,S7,weber_factor,prr_raw,S1_score,S2_score,S3_score,S4_score,S5_score,S6_score,S7_score,prr_score,composite_probability,hdi_lower,hdi_upper,hdi_width,dci,uncertainty_flag
Prasugrel,Bleeding,standard,1,0,2009-07-15,2009-01-15,4.183,1017,0,0,0.8,2005-2010,72.8,98.42,98.42,64.42,90.64,45.12,30.0,53.32,1.0,19.979,0.728,0.9842,0.6442,0.9064,0.4512,0.3,0.5332,0.7740734767225704,0.9807,0.9359,0.9944,0.0585,0.9615,False
Lithium,Thyroid Cancer,negative,0,0,,2014-04-20,3.385,9999,0,0,0.8,unknown,0.0,47.83,47.83,8.85,15.29,27.88,1.23,26.77,1.0,1.209,0.0,0.4783,0.0885,0.15289999999999998,0.2788,0.0123,0.2677,0.2015704658522297,0.0006,0.0003,0.0011,0.0008,0.9989,False
Statins,ALS,negative,0,0,,2013-03-10,14.451,9999,0,0,0.8,unknown,35.22,55.88,55.88,56.27,39.69,21.3,23.74,33.52,1.0,3.993,0.3522,0.5588000000000001,0.5627,0.3969,0.213,0.23739999999999997,0.33520000000000005,0.40897971622517715,0.0762,0.0343,0.1608,0.1265,0.8475,False
Efalizumab,PML,silent_killer,1,0,2009-02-15,2008-08-18,3.307,529,0,0,0.8,2005-2010,94.92,36.01,36.01,54.44,51.71,54.43,50.0,54.75,1.0,21.912,0.9492,0.3601,0.5444,0.5171,0.5443,0.5,0.5475,0.7964902524449784,0.9792,0.937,0.9934,0.0563,0.9585,False
Bupropion,Seizures Standard Dose,negative,0,1,,2011-07-17,3.482,9999,0,0,0.8,unknown,19.33,10.49,10.49,6.77,15.22,9.45,38.14,39.78,1.0,3.427,0.19329999999999997,0.10490000000000001,0.0677,0.1522,0.09449999999999999,0.3814,0.3978,0.37837948391398396,0.0078,0.0038,0.0157,0.0119,0.9844,False
Ramipril,Cancer overall,negative,0,0,,2012-11-28,5.92,9999,0,0,0.8,unknown,0.0,76.95,76.95,32.49,77.89,18.17,29.78,22.96,1.0,0.988,0.0,0.7695000000000001,0.3249,0.7789,0.18170000000000003,0.2978,0.2296,0.17476082929910525,0.0174,0.0075,0.0399,0.0324,0.9653,False
Interferon-beta,Thrombotic Microangiopathy,silent_killer,1,1,2014-04-15,2013-10-16,4.905,597,1,0,1.0,2010-2015,59.68,27.28,27.28,61.73,89.4,82.4,50.0,60.18,1.0,1.853,0.5968,0.2728,0.6173,0.894,0.8240000000000001,0.5,0.6018,0.26663722406859536,0.9957,0.9838,0.9989,0.0151,0.9915,False
Natalizumab,Progressive Multifocal Leuko.,silent_killer,1,1,2005-02-15,2004-08-18,1.239,949,0,0,0.8,2005-2010,100.0,30.47,30.47,68.09,51.15,23.95,50.0,59.11,0.46178652293226496,17.445,1.0,0.30469999999999997,0.6809000000000001,0.5115,0.2395,0.5,0.5911,0.7413333151879896,0.981,0.9356,0.9946,0.059,0.9619,False
Tetrazepam,Cutaneous Reactions,standard,1,0,2013-07-15,2013-01-15,7.157,45,0,0,1.0,2010-2015,86.07,83.9,83.9,62.76,64.83,72.26,100.0,71.41,1.0,3.99,0.8606999999999999,0.8390000000000001,0.6275999999999999,0.6483,0.7226,1.0,0.7141,0.40882685549044806,0.9999,0.9997,1.0,0.0003,0.9998,False
Troglitazone,Hepatotoxicity,standard,1,0,2000-03-15,1999-09-16,7.966,641,0,0,0.8,2000-2005,63.65,96.62,96.62,65.89,57.81,80.23,80.0,88.67,1.0,10.113,0.6365,0.9662000000000001,0.6589,0.5781000000000001,0.8023,0.8,0.8867,0.6124675453969581,1.0,0.9998,1.0,0.0002,0.9999,False
Gatifloxacin,Dysglycemia,standard,1,0,2006-02-15,2005-08-18,0.969,730,0,0,1.0,2005-2010,84.48,52.7,52.7,40.97,25.06,66.7,80.0,66.56,0.3839948776623545,16.302,0.8448,0.527,0.4097,0.2506,0.667,0.8,0.6656,0.7250632067787997,0.9963,0.986,0.999,0.013,0.9925,False
Paracetamol,Autism Spectrum Disorder,negative,0,1,,2011-09-08,6.042,9999,0,0,0.8,unknown,47.37,65.93,65.93,0.0,3.09,1.29,24.79,41.29,1.0,2.323,0.47369999999999995,0.6593000000000001,0.0,0.030899999999999997,0.0129,0.24789999999999998,0.4129,0.305422493657326,0.0091,0.0041,0.0203,0.0162,0.9817,False
Levetiracetam,Renal Toxicity Mild,negative,0,0,,2011-05-09,8.245,9999,0,0,0.8,unknown,0.0,58.9,58.9,0.91,48.56,0.0,25.64,32.94,1.0,1.069,0.0,0.589,0.0091,0.48560000000000003,0.0,0.2564,0.32939999999999997,0.18491801689070048,0.0031,0.0015,0.0064,0.005,0.9939,False
Ximelagatran,Hepatotoxicity,standard,1,1,2006-02-15,2005-08-18,4.474,30,0,0,1.0,2005-2010,100.0,94.13,94.13,87.16,13.26,100.0,100.0,53.56,1.0,10.412,1.0,0.9412999999999999,0.8715999999999999,0.1326,1.0,1.0,0.5356000000000001,0.6192200928463597,0.9998,0.9989,0.9999,0.001,0.9995,False
Bupropion,Seizures Standard Dose,negative,0,0,,2014-05-31,14.349,9999,0,0,0.8,unknown,3.1,53.18,53.18,27.11,35.37,6.61,52.77,33.09,1.0,0.791,0.031,0.5318,0.2711,0.35369999999999996,0.0661,0.5277000000000001,0.3309,0.1482197273012781,0.0232,0.0108,0.0493,0.0385,0.9536,False
Rimonabant,Psychiatric Disorders,media_panic,1,1,2008-10-15,2008-04-17,3.638,1071,0,0,0.6,2005-2010,0.0,55.93,55.93,44.81,38.92,0.0,50.0,55.65,1.0,22.408,0.0,0.5593,0.4481,0.3892,0.0,0.5,0.5565,0.8019373539952813,0.2758,0.1273,0.4987,0.3714,0.4484,True
Cisapride,QT Prolongation,standard,1,0,2000-03-15,1999-09-16,2.99,819,0,0,0.8,2000-2005,78.82,100.0,100.0,74.08,59.01,100.0,30.0,83.46,1.0,8.171,0.7881999999999999,1.0,0.7408,0.5901,1.0,0.3,0.8345999999999999,0.5636176520985059,0.9998,0.9991,1.0,0.0009,0.9996,False
Fluoxetine,Birth Defects,negative,0,0,,2010-12-22,13.926,9999,0,0,0.8,unknown,29.95,42.12,42.12,35.66,3.91,0.0,0.0,47.45,1.0,0.568,0.2995,0.42119999999999996,0.3566,0.0391,0.0,0.0,0.47450000000000003,0.11440001768759851,0.0088,0.004,0.0194,0.0154,0.9824,False
Hydroxychloroquine,Retinopathy Minor,negative,0,0,,2010-12-14,14.202,9999,0,0,0.8,unknown,0.71,78.22,78.22,39.17,63.69,6.49,62.86,37.82,1.0,0.641,0.0070999999999999995,0.7822,0.3917,0.6369,0.0649,0.6286,0.3782,0.12597349383593112,0.2038,0.0902,0.3979,0.3078,0.5924,True
Montelukast,Neuropsychiatric Events,negative,0,0,,2012-07-20,13.287,9999,0,0,0.8,unknown,0.0,80.58,80.58,16.23,0.0,6.13,18.65,29.28,1.0,0.715,0.0,0.8058,0.1623,0.0,0.0613,0.1865,0.2928,0.1371915061869488,0.001,0.0005,0.0021,0.0016,0.998,False
Gatifloxacin,Dysglycemia,standard,1,0,2006-02-15,2005-08-18,5.103,1181,1,0,1.0,2005-2010,85.84,36.87,36.87,51.31,100.0,45.23,30.0,74.45,1.0,9.24,0.8584,0.36869999999999997,0.5131,1.0,0.4523,0.3,0.7445,0.5916594063199819,0.9968,0.9872,0.9992,0.0121,0.9937,False
Simvastatin,Cognitive Impairment,negative,0,0,,2012-08-31,9.041,9999,0,0,0.8,unknown,0.0,58.02,58.02,13.78,15.59,28.89,27.04,38.45,1.0,0.944,0.0,0.5802,0.1378,0.1559,0.2889,0.2704,0.3845,0.16906846033699865,0.0089,0.0042,0.0189,0.0147,0.9822,False
Nefazodone,Hepatotoxicity,standard,1,0,2003-01-15,2002-07-18,6.558,652,1,0,0.8,2000-2005,73.74,62.69,62.69,100.0,66.34,48.95,80.0,52.76,1.0,5.057,0.7373999999999999,0.6269,1.0,0.6634,0.48950000000000005,0.8,0.5276,0.458111522801881,0.9985,0.994,0.9996,0.0057,0.997,False
ACE Inhibitors,Pancreatic Cancer,negative,0,1,,2012-07-25,8.559,9999,0,0,0.8,unknown,0.0,65.92,65.92,14.3,28.71,0.0,31.5,40.2,1.0,3.851,0.0,0.6592,0.14300000000000002,0.2871,0.0,0.315,0.402,0.4016416333724537,0.0087,0.004,0.019,0.015,0.9825,False
Montelukast,Neuropsychiatric Events,negative,0,1,,2011-08-16,4.655,9999,0,0,0.8,unknown,37.77,55.64,55.64,33.49,64.73,7.63,3.36,42.8,1.0,3.551,0.37770000000000004,0.5564,0.33490000000000003,0.6473,0.07629999999999999,0.0336,0.428,0.38540544026733325,0.0535,0.023,0.1198,0.0968,0.8929,False
Pregabalin,Cardiac Arrhythmia,negative,0,1,,2011-08-14,10.95,9999,0,0,0.8,unknown,49.07,58.33,58.33,0.0,40.37,38.78,14.06,32.37,1.0,1.795,0.4907,0.5832999999999999,0.0,0.40369999999999995,0.38780000000000003,0.1406,0.3237,0.2614134508032308,0.0176,0.008,0.0385,0.0305,0.9648,False
Pergolide,Cardiac Valvulopathy,standard,1,0,2007-01-15,2006-07-18,7.239,283,0,0,1.0,2005-2010,52.3,39.79,39.79,69.75,1.21,57.8,75.0,80.04,1.0,22.793,0.523,0.3979,0.6975,0.0121,0.578,0.75,0.8004000000000001,0.8060864635986541,0.997,0.989,0.9992,0.0101,0.994,False
Rosuvastatin,Parkinson Disease,negative,0,0,,2012-04-29,6.925,9999,0,0,0.8,unknown,3.48,67.1,67.1,25.55,23.92,16.77,21.44,41.34,1.0,2.498,0.0348,0.6709999999999999,0.2555,0.23920000000000002,0.1677,0.2144,0.41340000000000005,0.31847581596053093,0.0149,0.0068,0.0326,0.0259,0.9701,False
Ximelagatran,Hepatotoxicity,standard,1,1,2006-02-15,2005-08-18,1.215,825,0,0,1.0,2005-2010,34.44,42.33,42.33,39.98,43.1,76.5,35.0,91.4,0.45528905436548706,2.315,0.3444,0.4233,0.3998,0.431,0.765,0.35,0.914,0.3048094538229625,0.9954,0.9815,0.9989,0.0173,0.9908,False
Bromfenac,Hepatotoxicity,silent_killer,1,0,1998-06-15,1997-12-16,3.577,1144,1,0,1.0,2000-2005,76.05,36.77,36.77,39.96,61.34,39.04,50.0,68.27,1.0,8.746,0.7605,0.3677,0.3996,0.6134000000000001,0.39039999999999997,0.5,0.6827,0.579083905825117,0.9833,0.943,0.9953,0.0523,0.9666,False
Fingolimod,Bradycardia,standard,1,0,2010-09-15,2010-03-18,2.102,881,1,0,0.8,2010-2015,56.47,58.89,58.89,76.61,63.7,61.04,50.0,61.25,1.0,17.789,0.5647,0.5889,0.7661,0.637,0.6103999999999999,0.5,0.6125,0.7460329796413044,0.9932,0.9749,0.9982,0.0233,0.9863,False
Adalimumab,Demyelinating Disease,silent_killer,1,0,2008-02-15,2007-08-18,2.929,346,0,1,1.0,2005-2010,86.32,0.0,0.0,48.87,100.0,43.25,85.0,68.72,1.0,20.963,0.8632,0.0,0.48869999999999997,1.0,0.4325,0.85,0.6872,0.7857314916562123,0.9992,0.9966,0.9998,0.0032,0.9984,False
Gadolinium,Nephrogenic Systemic Fibrosis,silent_killer,1,0,2006-12-15,2006-06-17,3.397,30,0,1,1.0,2005-2010,100.0,0.0,0.0,85.74,100.0,15.44,100.0,51.34,1.0,6.613,1.0,0.0,0.8573999999999999,1.0,0.15439999999999998,1.0,0.5134000000000001,0.5162633091940058,0.9989,0.995,0.9997,0.0047,0.9977,False
Albuterol,Asthma Mortality,negative,0,1,,2014-06-30,9.302,9999,0,0,0.8,unknown,33.17,30.48,30.48,0.0,69.09,11.32,18.77,40.35,1.0,2.849,0.3317,0.3048,0.0,0.6909000000000001,0.11320000000000001,0.1877,0.4035,0.34279581553257277,0.0228,0.0103,0.05,0.0398,0.9543,False
Quetiapine,Sudden Death (Low Dose),negative,0,0,,2010-06-03,10.086,9999,0,0,0.8,unknown,46.52,40.57,40.57,38.66,29.29,37.26,41.08,31.81,1.0,3.11,0.46520000000000006,0.4057,0.38659999999999994,0.2929,0.3726,0.4108,0.3181,0.3594826323792989,0.1076,0.0506,0.2142,0.1636,0.7849,False
Metformin,Pancreatitis,negative,0,0,,2011-03-16,10.053,9999,0,0,0.8,unknown,47.93,68.56,68.56,43.5,62.71,23.44,19.26,31.74,1.0,1.412,0.4793,0.6856,0.435,0.6271,0.23440000000000003,0.19260000000000002,0.31739999999999996,0.22393065235064324,0.1065,0.0467,0.2249,0.1782,0.787,False
Efalizumab,PML,silent_killer,1,0,2009-02-15,2008-08-18,7.295,422,0,0,1.0,2005-2010,93.15,37.33,37.33,44.19,91.29,68.23,60.0,65.19,1.0,11.586,0.9315000000000001,0.37329999999999997,0.44189999999999996,0.9129,0.6823,0.6,0.6518999999999999,0.644124465751025,0.9986,0.9948,0.9996,0.0048,0.9972,False
Metoprolol,Cognitive Decline,negative,0,0,,2010-04-23,4.195,9999,0,0,0.8,unknown,35.39,69.75,69.75,20.41,29.01,18.49,27.73,47.05,1.0,1.24,0.3539,0.6975,0.2041,0.2901,0.18489999999999998,0.2773,0.4705,0.2051148604237947,0.0917,0.0404,0.195,0.1547,0.8166,False
Oral Contraceptives,Multiple Sclerosis,negative,0,0,,2010-02-26,14.534,9999,0,0,0.8,unknown,14.22,70.42,70.42,12.23,33.61,0.0,0.0,39.02,1.0,1.643,0.1422,0.7042,0.1223,0.3361,0.0,0.0,0.39020000000000005,0.24719169322590775,0.003,0.0014,0.0066,0.0052,0.9939,False
Sildenafil,Hearing Loss Chronic,negative,0,0,,2013-11-14,6.068,9999,0,0,0.8,unknown,0.0,48.53,48.53,40.69,55.06,26.2,46.53,32.71,1.0,3.33,0.0,0.4853,0.4069,0.5506,0.262,0.4653,0.3271,0.3727447956533414,0.0687,0.0312,0.1447,0.1135,0.8625,False
Paracetamol,Autism Spectrum Disorder,negative,0,1,,2012-10-31,12.181,9999,0,0,0.8,unknown,5.24,54.26,54.26,36.39,0.0,19.98,9.42,44.27,1.0,2.639,0.0524,0.5426,0.3639,0.0,0.1998,0.0942,0.44270000000000004,0.3285265012464476,0.009,0.0041,0.0197,0.0156,0.982,False
Ranolazine,QT Prolongation,masked_signal,1,0,2006-01-15,2005-07-18,3.701,1161,0,0,1.0,2005-2010,58.53,12.18,12.18,37.6,51.53,50.3,60.0,60.43,1.0,15.344,0.5853,0.12179999999999999,0.376,0.5153,0.503,0.6,0.6043,0.7105759813614828,0.9476,0.8602,0.9815,0.1214,0.8952,False
Calcium Antagonists,Suicide,negative,0,0,,2011-12-18,13.299,9999,0,0,0.8,unknown,0.0,62.45,62.45,30.13,6.26,34.93,46.2,44.14,1.0,2.403,0.0,0.6245,0.3013,0.0626,0.3493,0.462,0.4414,0.31147296699172666,0.0654,0.0288,0.1418,0.113,0.8693,False
Isotretinoin,Depression,media_panic,1,0,2005-07-15,2005-01-15,2.95,828,0,1,1.0,2005-2010,34.9,82.37,82.37,16.47,65.83,43.26,30.0,36.09,1.0,14.74,0.349,0.8237000000000001,0.16469999999999999,0.6583,0.4326,0.3,0.36090000000000005,0.7009988489951189,0.1642,0.0611,0.3722,0.311,0.6716,True
Dabigatran,Gastrointestinal Bleeding,standard,1,0,2012-05-15,2011-11-16,0.505,971,0,0,1.0,2010-2015,78.81,93.94,93.94,31.03,65.14,50.68,60.0,83.1,0.2231437871606866,3.986,0.7881,0.9394,0.3103,0.6514,0.5068,0.6,0.831,0.4086228981594345,0.9991,0.9961,0.9998,0.0037,0.9982,False
Rofecoxib,Myocardial Infarction,standard,1,0,2004-09-15,2004-03-18,1.546,729,0,0,1.0,2000-2005,56.35,82.8,82.8,88.94,23.5,42.42,50.0,51.08,0.5383738894168952,5.844,0.5635,0.828,0.8894,0.235,0.4242,0.5,0.5108,0.48918048145926046,0.9469,0.8368,0.9841,0.1473,0.8937,False
Efalizumab,PML,silent_killer,1,0,2009-02-15,2008-08-18,4.243,251,0,0,0.8,2005-2010,98.76,10.16,10.16,41.91,97.48,42.7,75.0,46.19,1.0,17.522,0.9876,0.1016,0.4191,0.9748,0.42700000000000005,0.75,0.4619,0.7423928442944601,0.9876,0.9601,0.9962,0.0361,0.9752,False
Sitaxentan,Hepatotoxicity,standard,1,0,2010-12-15,2010-06-17,0.998,325,0,0,1.0,2010-2015,100.0,74.07,74.07,70.1,40.22,31.27,75.0,93.41,0.39286250626121033,19.345,1.0,0.7406999999999999,0.701,0.4022,0.3127,0.75,0.9340999999999999,0.7662687674595803,0.9999,0.9996,1.0,0.0004,0.9998,False
Rosiglitazone,Cardiac Failure,standard,1,0,2007-05-15,2006-11-15,6.692,991,0,0,1.0,2005-2010,65.0,81.35,81.35,90.43,100.0,100.0,30.0,63.83,1.0,17.182,0.65,0.8134999999999999,0.9043000000000001,1.0,1.0,0.3,0.6383,0.7376807530729648,0.9994,0.9976,0.9999,0.0023,0.9989,False
Beta Blockers,Depression (Systematic),negative,0,1,,2013-03-22,9.996,9999,0,0,0.8,unknown,0.0,54.3,54.3,6.04,41.99,0.0,0.0,45.21,1.0,2.748,0.0,0.5429999999999999,0.0604,0.4199,0.0,0.0,0.4521,0.33603279692256166,0.0034,0.0015,0.0074,0.0058,0.9933,False
Benfluorex,Valvular Heart Disease,silent_killer,1,1,2009-11-15,2009-05-18,7.173,146,0,0,0.6,2005-2010,36.81,25.63,25.63,79.09,61.9,64.98,100.0,62.3,1.0,17.409,0.36810000000000004,0.2563,0.7909,0.619,0.6498,1.0,0.623,0.7408364326284086,0.9987,0.9952,0.9996,0.0044,0.9974,False
Temafloxacin,Hemolytic Anemia,silent_killer,1,0,1992-06-15,1991-12-17,5.244,555,1,0,1.0,2000-2005,100.0,0.0,0.0,54.47,55.88,14.05,60.0,56.57,1.0,20.979,1.0,0.0,0.5447,0.5588000000000001,0.1405,0.6,0.5657,0.7859167065590453,0.9591,0.8712,0.9878,0.1166,0.9182,False
Albuterol,Asthma Mortality,negative,0,0,,2014-04-26,8.33,9999,0,0,0.8,unknown,9.72,75.04,75.04,7.92,20.14,16.83,46.77,47.93,1.0,1.664,0.09720000000000001,0.7504000000000001,0.07919999999999999,0.2014,0.16829999999999998,0.4677,0.4793,0.24920452843154908,0.061,0.0262,0.1356,0.1094,0.8781,False
Gatifloxacin,Dysglycemia,standard,1,0,2006-02-15,2005-08-18,2.325,563,1,0,1.0,2005-2010,73.34,72.32,72.32,75.63,69.47,63.87,50.0,53.01,1.0,10.078,0.7334,0.7232,0.7563,0.6947,0.6386999999999999,0.5,0.5301,0.6116652629746799,0.9928,0.9735,0.9981,0.0246,0.9857,False
Temafloxacin,Hemolytic Anemia,silent_killer,1,0,1992-06-15,1991-12-17,2.892,589,0,0,1.0,2000-2005,54.02,13.67,13.67,41.63,69.62,21.56,50.0,49.02,1.0,17.674,0.5402,0.1367,0.4163,0.6962,0.21559999999999999,0.5,0.4902,0.7444715141229574,0.6962,0.4632,0.8589,0.3957,0.3924,True
Pioglitazone,Bladder Cancer,masked_signal,1,0,2011-06-15,2010-12-16,0.539,553,0,0,1.0,2010-2015,87.24,37.84,37.84,85.44,70.78,94.0,50.0,52.0,0.23623872047763583,4.332,0.8724,0.3784,0.8543999999999999,0.7078,0.94,0.5,0.52,0.4256868332069834,0.9979,0.9915,0.9995,0.008,0.9957,False
Levetiracetam,Renal Toxicity Mild,negative,0,0,,2012-04-27,5.306,9999,0,0,0.8,unknown,37.99,97.33,97.33,27.18,45.4,35.44,45.2,34.11,1.0,3.584,0.3799,0.9732999999999999,0.2718,0.45399999999999996,0.3544,0.452,0.3411,0.3872430065921978,0.212,0.0947,0.409,0.3144,0.576,True
ACE Inhibitors,Pancreatic Cancer,negative,0,1,,2011-11-07,6.385,9999,0,0,0.8,unknown,0.0,69.06,69.06,23.94,78.09,17.03,68.35,41.45,1.0,1.602,0.0,0.6906,0.2394,0.7809,0.1703,0.6835,0.41450000000000004,0.2432153583137703,0.3449,0.1652,0.5835,0.4182,0.3101,True
Hydroxyethyl Starch,Renal Failure,standard,1,0,2013-06-15,2012-12-16,2.185,905,0,0,0.8,2010-2015,78.47,41.96,41.96,83.57,33.52,77.22,35.0,85.8,1.0,9.711,0.7847,0.41960000000000003,0.8356999999999999,0.33520000000000005,0.7722,0.35,0.858,0.6030967474871108,0.9993,0.9973,0.9998,0.0026,0.9987,False
Troglitazone,Hepatotoxicity,standard,1,0,2000-03-15,1999-09-16,4.481,1009,0,1,1.0,2000-2005,66.67,100.0,100.0,72.19,48.02,53.4,35.0,64.18,1.0,23.369,0.6667000000000001,1.0,0.7219,0.4802,0.534,0.35,0.6418,0.8121702565238912,0.9894,0.9583,0.9974,0.0391,0.9787,False
Oral Contraceptives,Multiple Sclerosis,negative,0,0,,2013-01-16,8.755,9999,0,0,0.8,unknown,23.1,13.64,13.64,25.22,60.72,3.61,22.26,43.93,1.0,1.902,0.231,0.1364,0.2522,0.6072,0.0361,0.22260000000000002,0.4393,0.27096831191972015,0.0362,0.0165,0.0778,0.0613,0.9275,False
Oral Contraceptives,Multiple Sclerosis,negative,0,0,,2011-08-16,14.114,9999,0,0,0.8,unknown,64.2,76.51,76.51,48.21,29.22,24.24,0.0,34.55,1.0,0.832,0.642,0.7651,0.48210000000000003,0.2922,0.24239999999999998,0.0,0.3455,0.15397637708375606,0.053,0.0222,0.1215,0.0993,0.8939,False
Warfarin,Alzheimer Disease,negative,0,0,,2012-05-22,4.453,9999,0,0,0.8,unknown,9.5,0.0,0.0,0.0,37.2,0.0,13.36,35.21,1.0,1.428,0.095,0.0,0.0,0.37200000000000005,0.0,0.1336,0.3521,0.22561221072833046,0.0011,0.0006,0.0021,0.0015,0.9978,False
Propoxyphene,Cardiac Conduction Abnormalities,standard,1,0,2010-11-15,2010-05-18,0.617,518,0,0,1.0,2010-2015,91.17,100.0,100.0,57.85,56.65,67.67,60.0,60.87,0.26545204780082987,5.67,0.9117000000000001,1.0,0.5785,0.5665,0.6767,0.6,0.6087,0.48263072607639745,0.998,0.992,0.9995,0.0075,0.9961,False
Interferon-beta,Thrombotic Microangiopathy,silent_killer,1,1,2014-04-15,2013-10-16,0.5,729,0,0,0.8,2010-2015,100.0,0.0,0.0,43.73,99.63,51.88,60.0,58.83,0.22119921692859512,19.418,1.0,0.0,0.43729999999999997,0.9963,0.5188,0.6,0.5882999999999999,0.7671797140853309,0.9954,0.9827,0.9988,0.0161,0.9909,False
Calcium Antagonists,Suicide,negative,0,0,,2011-01-19,13.77,9999,0,0,0.8,unknown,19.46,37.29,37.29,13.77,2.97,10.03,37.25,22.05,1.0,0.625,0.1946,0.3729,0.1377,0.0297,0.1003,0.3725,0.2205,0.12348152261403743,0.0014,0.0007,0.0025,0.0018,0.9973,False
Dexfenfluramine,Pulmonary Hypertension,standard,1,0,1997-09-15,1997-03-18,6.467,336,0,0,0.8,2000-2005,67.04,100.0,100.0,82.31,50.38,15.31,75.0,84.7,1.0,17.346,0.6704000000000001,1.0,0.8231,0.5038,0.1531,0.75,0.847,0.7399645454449004,0.9996,0.9984,0.9999,0.0015,0.9992,False
Montelukast,Neuropsychiatric Events,negative,0,0,,2010-07-20,13.664,9999,0,0,0.8,unknown,0.0,64.3,64.3,5.81,35.92,6.0,0.0,33.53,1.0,0.997,0.0,0.643,0.0581,0.3592,0.06,0.0,0.3353,0.17590964580859172,0.0011,0.0005,0.0022,0.0017,0.9979,False
Terfenadine,Torsades de Pointes,standard,1,1,1997-07-15,1997-01-15,3.309,890,1,0,0.8,2000-2005,92.0,88.0,88.0,82.0,70.0,78.0,100.0,75.0,1.0,16.796,0.92,0.88,0.82,0.7,0.78,1.0,0.75,0.7322231405640898,1.0,0.9999,1.0,0.0001,1.0,False
